case,hour_of_year,zone_idx,exterior_temp_c,expected_load_w,rel_err
Case650FF,6570,2,4.0,0.0,0.0
Case650FF,6570,3,4.0,0.0,0.0
Case650FF,6570,4,4.0,0.0,0.0
Case650FF,6657,0,14.262104104805855,41.485246170996966,3.4229528194994606e-08
Case650FF,6657,1,14.262104104805855,41.485246170996966,3.4229528194994606e-08
Case650FF,6657,2,14.262104104805855,41.485246170996966,3.4229528194994606e-08
Case650FF,6657,3,14.262104104805855,41.485246170996966,3.4229528194994606e-08
Case650FF,6657,4,14.262104104805855,41.485246170996966,3.4229528194994606e-08
Case650FF,6745,0,11.631587566873154,49.767614450357996,3.66024106262827e-08
Case650FF,6745,1,11.631587566873154,49.767614450357996,3.66024106262827e-08
Case650FF,6745,2,11.631587566873154,49.767614450357996,3.66024106262827e-08
Case650FF,6745,3,11.631587566873154,49.767614450357996,3.66024106262827e-08
Case650FF,6745,4,11.631587566873154,49.767614450357996,3.66024106262827e-08
Case650FF,6832,0,4.979901480307111,0.0,0.0
Case650FF,6832,1,4.979901480307111,0.0,0.0
Case650FF,6832,2,4.979901480307111,0.0,0.0
Case650FF,6832,3,4.979901480307111,0.0,0.0
Case650FF,6832,4,4.979901480307111,0.0,0.0
Case650FF,6920,0,15.509607710229925,30.33819947792928,4.533862864908751e-09
Case650FF,6920,1,15.509607710229925,30.33819947792928,4.533862864908751e-09
Case650FF,6920,2,15.509607710229925,30.33819947792928,4.533862864908751e-09
Case650FF,6920,3,15.509607710229925,30.33819947792928,4.533862864908751e-09
Case650FF,6920,4,15.509607710229925,30.33819947792928,4.533862864908751e-09
Case650FF,7008,0,10.489434837048464,46.140875766641074,2.17459777471096e-08
Case650FF,7008,1,10.489434837048464,46.140875766641074,2.17459777471096e-08
Case650FF,7008,2,10.489434837048464,46.140875766641074,2.17459777471096e-08
Case650FF,7008,3,10.489434837048464,46.140875766641074,2.17459777471096e-08
Case650FF,7008,4,10.489434837048464,46.140875766641074,2.17459777471096e-08
Case650FF,7095,0,6.458011072045537,5.980994685190829,2.7076881972927926e-09
Case650FF,7095,1,6.458011072045537,5.980994685190829,2.7076881972927926e-09
Case650FF,7095,2,6.458011072045537,5.980994685190829,2.7076881972927926e-09
Case650FF,7095,3,6.458011072045537,5.980994685190829,2.7076881972927926e-09
Case650FF,7095,4,6.458011072045537,5.980994685190829,2.7076881972927926e-09
Case650FF,7183,0,16.746673738461404,16.1131971305767,1.2169121600236705e-08
Case650FF,7183,1,16.746673738461404,16.1131971305767,1.2169121600236705e-08
Case650FF,7183,2,16.746673738461404,16.1131971305767,1.2169121600236705e-08
Case650FF,7183,3,16.746673738461404,16.1131971305767,1.2169121600236705e-08
Case650FF,7183,4,16.746673738461404,16.1131971305767,1.2169121600236705e-08
Case650FF,7270,0,8.234170306637902,27.605984618512743,3.2035875390891755e-08
Case650FF,7270,1,8.234170306637902,27.605984618512743,3.2035875390891755e-08
Case650FF,7270,2,8.234170306637902,27.605984618512743,3.2035875390891755e-08
Case650FF,7270,3,8.234170306637902,27.605984618512743,3.2035875390891755e-08
Case650FF,7270,4,8.234170306637902,27.605984618512743,3.2035875390891755e-08
Case650FF,7358,0,8.555183786999038,31.007957105529886,1.1383084869856892e-08
Case650FF,7358,1,8.555183786999038,31.007957105529886,1.1383084869856892e-08
Case650FF,7358,2,8.555183786999038,31.007957105529886,1.1383084869856892e-08
Case650FF,7358,3,8.555183786999038,31.007957105529886,1.1383084869856892e-08
Case650FF,7358,4,8.555183786999038,31.007957105529886,1.1383084869856892e-08
Case650FF,7446,0,17.909830056250524,1.1802121815223383,3.511150449983044e-08
